bairro_origem,bairro_destino,logradouro,observacao,peso
mangueira,mustardinha,r. frutuoso de barros,,0.9
mangueira,jiquia,r. antonio carneiro,,2.7
mustardinha,jiquia,r. dr. joao elisio,,3.2
mustardinha,san martin,r. profa. maria do carmo araujo,,1.3
san martin,jiquia,r joao leite,,2.8
san martin,estância,r. humberto de campos,,1.5
san martin,curado,dr. aniceto ribeiro varejao,,3.7
san martin,cordeiro,estr. do forte do arraial novo do bom jesus,,5.1
areias,ibura,av. dom helder camara,,2.8
areias,barro,av. dois rios,,6.1
areias,cacote,r. cap. domingos da costa,,1.2
areias,jardim sao paulo,r. guarulhos,,2.8
areias,estância,r. frei manuel calado,,1.9
areias,jiquia,r. tupuranema,,1.6
areias,imbiribeira,rua ernesto nazareth,,5.1
areias,ipsep,rua pintor antonio de albuquerque,,2.5
cacote,ibura,r. aurora cacote,,2.6
cacote,ipsep,r. sao nicolau,,1.7
estância,jardim sao paulo,rua nossa senhora de fatima,,1.8
estância,jiquia,r. sd. graciliano,,1.8
jiquia,imbiribeira,av. mal. mascarenhas de morais,,5.4
barro,tejipio,r. prof. joaquim amazonas,,3.3
barro,jardim sao paulo,r. leandro barreto,,5.4
barro,ibura,r. doutor benigno jordao de vasconcelos,,4
barro,cohab,av. santa fe,,1.3
coqueiral,toto,rua alto do paraizo,,0.7
coqueiral,sancho,r. dr. urbano vitalino de melo filho,,1.3
coqueiral,tejipio,r. aprigio guimaraes,,1.2
curado,jardim sao paulo,r. s d 5513,,3.2
curado,sancho,estr. do curado,,6
curado,toto,av liberdade,,6.1
curado,tejipio,av. piracaba,,6.2
jardim sao paulo,tejipio,av. r. jose rufino,,3.5
sancho,toto,r. dr. urbano vitalino de melo filho,,1.2
sancho,tejipio,r. dracena,,0.8
boa viagem,jordão,av. mal. juarez tavora,,5.4
boa viagem,ibura,av. fernando simoes barbosa,,6.5
boa viagem,imbiribeira,av. general mac arthur,,2.8
boa viagem,pina,r. pereira da costa,,4.5
boa viagem,setubal,av. boa viagem,,1.1
brasilia teimosa,pina,av. eng. domingos ferreira,,2.7
imbiribeira,pina,viaduto dom joao vi,,5.5
imbiribeira,ibura,rua potengy,,3.2
imbiribeira,ipsep,r. itacari,,1.5
ipsep,ibura,av. mal. mascarenhas de morais,,5.4
ibura,cohab,av. dois rios,,3.7
ibura,jordao,r. francisco beltrao,,3.4
jordao,cohab,r. rio xingu,,5.3
